,Player,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDribblers,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Clr,Err
206,Thomas Basila,2,1,1,1,0,0,0,,0,2,1,1,0,8,0
207,Borja Bastón,16,7,4,9,3,2,24,8.3,22,16,5,11,4,10,0
208,Alessandro Bastoni,25,12,20,5,0,6,15,40.0,9,26,18,8,22,96,0
209,Bastos,22,17,16,4,2,17,27,63.0,10,16,8,8,7,49,1
210,Michy Batshuayi,2,1,1,1,0,1,2,50.0,1,8,3,5,3,0,0
211,Michy Batshuayi,1,1,0,1,0,0,3,0.0,3,5,2,3,0,3,0
212,Robert Bauer,48,29,32,13,3,20,39,51.3,19,19,5,14,28,80,0
213,Oliver Baumann,0,0,0,0,0,0,0,,0,0,0,0,2,11,5
214,Timo Baumgartl,33,23,21,12,0,11,19,57.9,8,31,22,9,26,100,0
215,Julian Baumgartlinger,52,30,24,20,8,20,45,44.4,25,18,6,12,26,21,1
216,Christoph Baumgartner,1,0,0,0,1,1,3,33.3,2,2,0,2,0,0,0
217,Jon Bautista,5,3,0,3,2,0,3,0.0,3,8,1,7,5,4,0
218,Paul Baysse,1,0,1,0,0,0,1,0.0,1,1,1,0,1,6,0
219,Paul Baysse,25,14,20,5,0,13,18,72.2,5,25,20,5,31,113,1
220,Noah Joel Sarenren Bazee,0,0,0,0,0,0,0,,0,1,0,1,0,3,0
221,Claudio Beauvue,18,11,7,9,2,1,14,7.1,13,11,2,9,10,21,0
222,Bebé,19,9,10,4,5,9,19,47.4,10,16,1,15,9,16,1
223,Bebé,0,0,0,0,0,0,0,,0,1,0,1,1,0,0
224,Ihlas Bebou,15,9,4,10,1,4,9,44.4,5,18,2,16,9,9,0
225,Uffe Bech,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0
226,Andreas Beck,35,19,17,17,1,11,27,40.7,16,32,6,26,22,54,0
227,Jan Bednarek,41,25,25,16,0,21,37,56.8,16,44,27,17,71,171,0
228,Andrea Beghetto,26,14,13,10,3,15,25,60.0,10,20,4,16,17,59,0
229,Asmir Begović,0,0,0,0,0,0,3,0.0,3,1,0,1,1,15,7
230,Valon Behrami,65,38,25,34,6,18,44,40.9,26,29,12,17,18,26,0
231,Hanno Behrens,46,26,29,17,0,21,47,44.7,26,43,13,30,33,49,0
232,Ishak Belfodil,13,10,5,6,2,4,16,25.0,12,6,0,6,3,14,0
233,Stefan Bell,31,20,18,13,0,15,34,44.1,19,31,11,20,54,122,1
234,Karim Bellarabi,13,6,7,4,2,3,19,15.8,16,13,0,13,10,8,0
235,Héctor Bellerín,15,12,8,4,3,6,13,46.2,7,17,5,12,20,37,3
236,Andrea Belotti,33,22,8,15,10,6,30,20.0,24,36,5,31,15,23,0
237,Fran Beltrán,23,17,8,12,3,13,31,41.9,18,19,2,17,19,15,1
238,Hatem Ben Arfa,15,7,4,8,3,7,16,43.8,9,9,0,9,4,0,0
239,Wissam Ben Yedder,18,16,3,11,4,2,12,16.7,10,18,0,18,11,2,0
240,Diego Benaglio,1,0,1,0,0,1,1,100.0,0,0,0,0,0,16,0
241,Marco Benassi,30,19,8,15,7,14,41,34.1,27,16,3,13,9,27,1
242,Medhi Benatia,7,6,6,1,0,3,5,60.0,2,10,5,5,16,18,0
243,Lars Bender,43,29,20,20,3,18,35,51.4,17,26,4,22,21,26,0
244,Sven Bender,40,25,25,15,0,18,30,60.0,12,31,14,17,52,98,0
245,László Bénes,3,1,3,0,0,3,3,100.0,0,1,0,1,0,0,0
246,Nicolas Benezet,32,19,14,15,3,5,19,26.3,14,12,0,12,19,4,0
247,Walter Benítez,1,0,1,0,0,1,2,50.0,1,0,0,0,2,6,2
248,Ismaël Bennacer,94,57,43,41,10,32,75,42.7,43,38,9,29,57,34,0
249,Joe Bennett,50,29,34,16,0,22,38,57.9,16,30,8,22,60,93,0
250,Ryan Bennett,58,32,41,16,1,25,41,61.0,16,42,21,21,43,131,1
251,Yassine Benrahou,9,6,1,7,1,2,5,40.0,3,4,0,4,2,1,0
252,Ramy Bensebaini,69,48,42,19,8,40,58,69.0,18,24,10,14,41,98,0
253,Nabil Bentaleb,32,17,8,21,3,4,18,22.2,14,28,8,20,35,19,0
254,Rodrigo Bentancur,53,34,22,29,2,18,39,46.2,21,20,8,12,43,42,1
255,Christian Benteke,5,1,0,4,1,1,4,25.0,3,7,2,5,0,14,0
256,Karim Benzema,24,11,2,11,11,2,17,11.8,15,16,1,15,8,25,0
257,Yassine Benzia,1,1,0,1,0,1,1,100.0,0,0,0,0,1,1,0
258,Domenico Berardi,38,21,16,9,13,15,73,20.5,58,31,2,29,27,24,0
259,Yuri Berchiche,46,31,26,11,9,23,46,50.0,23,34,9,25,42,82,0
260,Álex Berenguer,31,20,12,17,2,14,34,41.2,20,20,1,19,8,14,0
261,Bartosz Bereszyński,46,30,27,15,4,24,51,47.1,27,22,7,15,31,76,0
262,Jóhann Berg Guðmundsson,27,11,14,10,3,16,34,47.1,18,25,4,21,33,34,0
263,Markel Bergara,2,2,0,1,1,2,3,66.7,1,3,0,3,1,2,0
264,Robert Berić,12,5,1,9,2,1,11,9.1,10,8,2,6,4,3,0
265,Etrit Berisha,0,0,0,0,0,0,2,0.0,2,0,0,0,0,5,3
266,Valon Berisha,8,5,1,6,1,4,6,66.7,2,6,0,6,4,3,0
267,Bernard,49,30,19,22,8,15,55,27.3,40,37,2,35,27,14,1
268,Federico Bernardeschi,14,8,5,6,3,7,18,38.9,11,9,0,9,6,10,0
269,Bernardo,62,43,43,13,6,31,45,68.9,14,32,13,19,34,82,0
270,Paul Bernardoni,1,1,1,0,0,1,2,50.0,1,0,0,0,1,20,1
271,Juan Bernat,47,32,22,19,6,22,46,47.8,24,19,5,14,20,41,1
272,Antoine Bernede,13,7,3,8,2,5,9,55.6,4,3,1,2,3,1,1
273,Dimitry Bertaud,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
274,Ryan Bertrand,46,27,22,20,4,16,31,51.6,15,27,5,22,28,51,0
275,Daniel Bessa,60,35,28,23,9,11,39,28.2,28,30,4,26,19,16,1
276,Marcus Bettinelli,0,0,0,0,0,0,0,,0,0,0,0,0,5,0
277,Jordan Beyer,32,18,21,10,1,17,24,70.8,7,12,6,6,11,32,0
278,Jonathan Biabiany,30,22,18,10,2,9,17,52.9,8,8,1,7,11,11,1
279,Giulian Biancone,4,3,4,0,0,1,3,33.3,2,0,0,0,3,2,0
280,Ermin Bičakčić,32,19,18,11,3,13,22,59.1,9,36,15,21,56,79,1
281,Pedro Bigas,4,3,2,0,2,1,5,20.0,4,6,2,4,8,22,0
282,Lucas Biglia,60,33,31,25,4,20,45,44.4,25,19,3,16,22,21,1
283,Philip Billing,73,44,26,39,8,19,42,45.2,23,57,16,41,53,43,0
284,Cristiano Biraghi,52,33,31,17,4,18,38,47.4,20,40,17,23,44,113,0
285,Davide Biraschi,58,38,37,19,2,25,42,59.5,17,32,13,19,64,107,1
286,Valter Birsa,5,3,1,3,1,4,8,50.0,4,5,0,5,4,3,0
287,Valter Birsa,14,9,4,7,3,4,17,23.5,13,9,1,8,6,13,0
288,Yves Bissouma,62,30,33,27,2,20,38,52.6,18,21,5,16,33,29,2
289,Leonardo Bittencourt,37,26,9,22,6,8,32,25.0,24,22,1,21,13,7,0
290,Alejandro Blanco,1,1,1,0,0,1,3,33.3,2,1,0,1,0,0,0
291,Rubén Blanco,1,0,1,0,0,1,2,50.0,1,1,0,1,2,13,2
292,Ludovic Blas,62,38,22,32,8,20,43,46.5,23,44,7,37,26,14,0
293,Pablo de Blasis,32,19,17,8,7,12,32,37.5,20,18,0,18,13,20,0
294,Pablo de Blasis,2,0,0,1,1,2,3,66.7,1,0,0,0,1,0,0
295,Alexis Blin,77,45,33,36,8,35,89,39.3,54,39,14,25,33,48,1
296,Danny Blum,0,0,0,0,0,0,0,,0,0,0,0,0,5,0
297,Emmanuel Boateng,4,3,0,0,4,0,3,0.0,3,5,0,5,1,7,0
298,Jérôme Boateng,21,15,12,9,0,10,22,45.5,12,8,3,5,25,49,0
299,Kevin-Prince Boateng,5,4,0,4,1,1,4,25.0,3,7,3,4,3,13,0
300,Kevin-Prince Boateng,3,2,0,1,2,0,1,0.0,1,1,0,1,1,4,0
301,Antonin Bobichon,34,16,17,12,5,16,58,27.6,42,15,3,12,15,13,0
302,Yann Bodiger,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0
303,Mathieu Bodmer,15,11,3,11,1,3,10,30.0,7,3,0,3,2,10,0
304,Adam Bodzek,44,27,27,16,1,17,43,39.5,26,15,6,9,26,39,0
305,Jean-Paul Boëtius,51,32,21,25,5,16,44,36.4,28,59,2,57,37,13,0
306,Sacha Boey,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
307,Jeremie Boga,7,4,5,1,1,4,14,28.6,10,19,0,19,2,4,0
308,Willy Boly,85,52,49,34,2,34,56,60.7,22,55,32,23,72,177,6
309,Léo Bonatini,1,1,0,0,1,1,5,20.0,4,1,0,1,0,0,0
310,Giacomo Bonaventura,6,2,2,4,0,2,7,28.6,5,3,0,3,7,8,0
311,Daniele Bonera,2,2,2,0,0,1,1,100.0,0,5,5,0,4,10,0
312,Gaëtan Bong,16,10,7,6,3,6,10,60.0,4,16,6,10,25,57,2
313,Kevin Bonifazi,40,24,31,8,1,15,33,45.5,18,38,21,17,36,79,0
314,Leonardo Bonucci,18,9,11,6,1,10,13,76.9,3,32,21,11,38,88,3
