,Player,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh
507,Tahith Chong,0,1,0,0.0,2.43,0.00,0.00,,14.1,0,0,0,0.1,0.1,0.05
508,Joris Chotard,0,9,2,22.2,0.65,0.14,0.00,0.00,32.3,0,0,0,0.2,0.2,0.03
509,Hamza Choudhury,1,7,2,28.6,0.71,0.20,0.14,0.50,16.2,0,0,0,0.4,0.4,0.05
510,Mounir Chouiar,4,39,17,43.6,2.33,1.02,0.10,0.24,17.5,6,0,0,3.6,3.6,0.09
511,Andreas Christensen,0,7,2,28.6,0.36,0.10,0.00,0.00,12.7,0,0,0,0.5,0.5,0.07
512,Samuel Chukwueze,3,48,11,22.9,2.11,0.48,0.06,0.27,18.5,0,0,0,3.4,3.4,0.07
513,Darko Churlinov,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
514,Churripi,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
515,Luca Cigarini,0,7,1,14.3,0.39,0.06,0.00,0.00,23.4,2,0,0,0.4,0.4,0.05
516,Per Ciljan Skjelbred,0,1,0,0.0,0.06,0.00,0.00,,12.8,0,0,0,0.0,0.0,0.04
517,Jasper Cillessen,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
518,Thiago Cionek,0,11,2,18.2,0.46,0.08,0.00,0.00,17.4,0,0,0,0.7,0.7,0.07
519,Ibrahim Cissé,0,1,1,100.0,1.80,1.80,0.00,0.00,8.5,0,0,0,0.1,0.1,0.11
520,Ibrahim Cissé,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
521,Andrea Cistana,1,6,2,33.3,0.29,0.10,0.17,0.50,11.6,0,0,0,0.4,0.4,0.07
522,Ciaran Clark,2,6,4,66.7,0.46,0.30,0.33,0.50,8.3,0,0,0,1.3,1.3,0.21
523,Leon Clarke,0,1,0,0.0,2.57,0.00,0.00,,9.6,0,0,0,0.5,0.5,0.46
524,Alexis Claude-Maurice,1,38,10,26.3,2.10,0.55,0.03,0.10,18.3,0,0,0,3.2,3.2,0.08
525,Christian Clemens,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
526,Óscar Clemente,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
527,Yannis Clementia,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
528,Denilho Cleonise,0,1,0,0.0,1.91,0.00,0.00,,11.9,0,0,0,0.1,0.1,0.06
529,Carlos Clerc,0,4,2,50.0,0.19,0.10,0.00,0.00,20.4,0,0,0,0.4,0.4,0.10
530,Tom Cleverley,1,17,5,29.4,1.58,0.46,0.06,0.20,17.8,0,0,0,2.1,2.1,0.12
531,Conor Coady,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
532,Marcus Coco,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
533,Renaud Cohade,1,8,4,50.0,0.94,0.47,0.13,0.25,20.5,1,0,0,0.4,0.4,0.05
534,Coke,1,9,3,33.3,0.82,0.27,0.11,0.33,12.0,0,0,0,0.9,0.9,0.10
535,Séamus Coleman,0,8,3,37.5,0.39,0.15,0.00,0.00,16.0,0,0,0,0.9,0.9,0.12
536,Álex Collado,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
537,Ebrima Colley,0,5,2,40.0,5.49,2.20,0.00,0.00,16.5,0,0,0,0.3,0.3,0.06
538,Omar Colley,0,24,5,20.8,0.78,0.16,0.00,0.00,11.4,0,0,0,3.0,3.0,0.12
539,Jamilu Collins,1,18,1,5.6,0.61,0.03,0.06,1.00,26.8,1,0,1,2.1,1.3,0.07
540,Simone Colombi,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
541,Lorenzo Colombo,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
